2026-07-24 03:34:39 | INFO     | app.services.ai_router:119 | AIRouter ready — OR model=openrouter/free  HF model=meta-llama/Llama-3.1-8B-Instruct:cerebras  HF url=https://router.huggingface.co/v1
2026-07-24 03:34:39 | INFO     | app.services.pdf_service:46 | PDFService initialised
2026-07-24 03:34:40 | INFO     | app.services.embedding_service:205 | EmbeddingService ready (model will load on first use)
2026-07-24 03:34:40 | INFO     | app.services.rag_service:81 | RAGService initialised
2026-07-24 03:34:40 | INFO     | app.services.extraction_service:221 | ExtractionService initialised
2026-07-24 03:35:29 | INFO     | app.auth:66 | Firebase Admin initialised for project 'spoudazo-fa02f'
2026-07-24 03:35:55 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:04 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:09 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:14 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:17 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:24 | INFO     | pdf_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Saved 'CPE316LECTUREANDLAB202425RAIN_compressed.pdf' → C:\Users\User\Downloads\spoudazo-api-seed\spoudazo-api-seed\data\uploads\07fa852e-64c6-46c4-bf6a-1bd0b91849cf_CPE316LECTUREANDLAB202425RAIN_compressed.pdf (955,655 bytes)
2026-07-24 03:36:25 | INFO     | pdf_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Document record created — status=uploaded
2026-07-24 03:36:25 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:26 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=uploaded
2026-07-24 03:36:26 | INFO     | extraction_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Extracting 'CPE316LECTUREANDLAB202425RAIN_compressed.pdf'
2026-07-24 03:36:31 | WARNING  | app.services.extraction_service:210 | OCR unavailable: tesseract is not installed or it's not in your PATH. See README file for more information. — scanned PDFs will have empty text
2026-07-24 03:36:32 | INFO     | extraction_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] OCR: 0/105 pages via OCR
2026-07-24 03:36:32 | INFO     | extraction_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] title='Il E-if`e. , Nigeria This Document is Not for Sale' | authors=0 | doi=— | issn=2024-2025 | journal='—' | pages=2024-2025
2026-07-24 03:36:32 | INFO     | extraction_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Extracted 105 pages · 40500 words · scanned=False
2026-07-24 03:36:32 | DEBUG    | extraction_service:192 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Headings found: [('CPE 316: Introduction to Artif', 'introduction'), ('"Artificial Intelligence": An ', 'introduction'), ('Summary . . . . . . . . . . . ', 'abstract'), ('Conventional assessment and ev', 'results'), ('Limitation of "Turing Test" an', 'conclusion'), ('Speech synthesis system . . . ', 'methods'), ('`Ar`ok un perspective of O. gb', 'abstract'), ('`Ar`ok un approach to creating', 'methods'), ('Using relation to Simplify con', 'introduction'), ('Overview of strategic games . ', 'abstract'), ('Example of the limitation in t', 'conclusion'), ('Gb`es`e ("Loss") approach to g', 'methods'), ('Overview . . . . . . . . . . .', 'abstract'), ('Context-neutral rendering of s', 'introduction'), ('Laboratory PROCEDURE and Docum', 'methods'), ('Background to laboratory assig', 'introduction'), ('Context-neutral rendering of l', 'introduction'), ('Context-sensitive rendering of', 'introduction'), ('"ARTIFICIAL INTELLIGENCE": AN ', 'introduction'), ('ignored, jettisoned and/or con', 'discussion'), ('Though his explanation aligns ', 'methods'), ('context-sensitive language. A ', 'introduction'), ('grounded in the European Intel', 'conclusion'), ('forth, ascribed to the sensory', 'methods'), ('Several references to the use ', 'references'), ('perspective is limited to inst', 'introduction'), ('Synthesis Systems", "Automatic', 'methods'), ('language. An instrument of con', 'introduction'), ('exclusive and contradictory. T', 'introduction'), ('Summary', 'abstract'), ('Human mental activities are ef', 'methods'), ('and (iv) `Agunl a ("Ignorant")', 'abstract'), ('context-neutral or context-sen', 'introduction'), ('an agency, through an instrume', 'introduction'), ('in his/her/its mental beingnes', 'methods'), ('any Two (2) pair as precisely ', 'introduction'), ('Conventional assessment and ev', 'results'), ('to be appreciated more by thos', 'methods'), ('and other physiological limita', 'conclusion'), ('too meaningless to deserve dis', 'discussion'), ('There are a number of challeng', 'introduction'), ('of these objections questioned', 'methods'), ('vice versa. AgIN also has acce', 'methods'), ('Limitation of "Turing Test" an', 'conclusion'), ('some context.', 'introduction'), ('the ambit of instruments of la', 'methods'), ('Using available textbooks and ', 'references'), ('Speech synthesis system', 'methods'), ('`Ar`ok un perspective of O. gb', 'abstract'), ('and explicable to the extent t', 'introduction'), ('("Bees")). The term intelligen', 'introduction'), ('Therefore, the observation asc', 'methods'), ('the ambit of instruments langu', 'methods'), ('through an instrument of conte', 'introduction'), ('(iii.) O. gb o. n (The "Intell', 'introduction'), ('implement the solution appropr', 'introduction'), ('observation of the phenomenon ', 'methods'), ('intelligence manifest during t', 'introduction'), ('The context-neutral rendering ', 'introduction'), ('Aspect of the creativity deplo', 'introduction'), ('or other biological, agency. A', 'methods'), ('Protocol,', 'methods'), ('Evaluation', 'results'), ('Regular or context-neutral', 'introduction'), ('`Ar`ok un approach to creating', 'methods'), ('(iv) Using the narrative in (i', 'methods'), ('Debates on the merits and deme', 'introduction'), ('(f.) Useful in the support for', 'methods'), ('an so forth, in conventional g', 'methods'), ('a regular language is used to ', 'introduction'), ('above explanation, the regular', 'introduction'), ('for rendering the identities a', 'introduction'), ('variable state or locations. C', 'introduction'), ('variables are reckoned simulta', 'methods'), ('effect Separation, Subtraction', 'discussion'), ('Addition, Integration during `', 'methods'), ('language"), content-sensitive ', 'introduction'), ('A Relation or Connection is re', 'introduction'), ('A Quantification is rendered a', 'introduction'), ('be rendered into informative e', 'introduction'), ('(vi.) Binary opposite is ascri', 'introduction'), ('4. If x X and y Y , then F(X, ', 'introduction'), ('A context-neutral relation adm', 'introduction'), ('When a Relation is used to asc', 'results'), ('Using relation to Simplify con', 'introduction'), ('A context-sensitive relation c', 'introduction'), ('Attempt to use binary opposite', 'introduction'), ('Married (X, Y) Married(Y, X) .', 'introduction'), ('through Three (3) variables X,', 'methods'), ('and `Ab ur`o ("Younger") are q', 'introduction'), ('(i.) E is the `E. gb o.n of A,', 'introduction'), ('(iv.) Its participants express', 'methods'), ('Aspect of a competitive proces', 'introduction'), ('Overview of strategic games', 'abstract'), ('appropriate context.', 'introduction'), ('Aim and Objectives: The aim of', 'introduction'), ('players then ensue for sharing', 'abstract'), ('according to their analysis of', 'discussion'), ('The above algorithm effects th', 'methods'), ('In a strategic game, a player ', 'introduction'), ('particularly in Game playing p', 'methods'), ('and (ii) Od`u ("Code" or "Axio', 'methods'), ('Example of the limitation in t', 'conclusion'), ('Gb`es`e ("Loss") approach to g', 'methods'), ('`Er`e ("Gain") approach to gam', 'methods'), ('Contact, connection and the in', 'introduction'), ('Overview', 'abstract'), ('2. A Context-neutral plan is p', 'introduction'), ('prescription of a consistent c', 'introduction'), ('context-sensitive plan is non-', 'introduction'), ('Context-neutral plan', 'introduction'), ('instruments of regular, contex', 'introduction'), ('Context-neutral rendering of s', 'introduction'), ('Figure 6.3: Context-neutral re', 'introduction'), ('Figure 6.4: Context-neutral re', 'introduction'), ('Context-sensitive rendering of', 'introduction'), ('Figure 6.5: Context-sensitive ', 'introduction'), ('Figure 6.6: Context-sensitive ', 'introduction'), ('(i.) Using the Python programm', 'methods'), ('(ii.) Test your system extensi', 'conclusion'), ('LABORATORY PROCEDURE AND DOCUM', 'methods'), ('assignment. Your sincere contr', 'conclusion'), ('The documentation of your expe', 'results'), ('their meanings in the context ', 'introduction'), ('Objectives of Experiment', 'introduction'), ('Experiment procedure', 'methods'), ('Discussion of results', 'results'), ('Illustrate, with examples, the', 'discussion'), ('Conclusion and Suggestions for', 'conclusion'), ('Summary and general observatio', 'abstract'), ('Tables of values and results', 'results'), ('References', 'references'), ('Background to laboratory assig', 'introduction'), ('directly observable and hence ', 'discussion'), ('3. Behaviour Analysis: This co', 'discussion'), ('4. System Design: This involve', 'methods'), ('6. Evaluation: This involves e', 'results'), ('used for the system design. Wh', 'methods'), ('Score based on the Alan Turing', 'results')]
